Tweet,Sentiment,Confidence
"@Shuaib_gumel @christineibiang Bro...u need to ask? Her ass is broke. Once she admits it, u may help her. But not before that.",negative,0.8450925946235657
@TalbaSadiq In Sha Allah. E go better,positive,0.5171281695365906
@ayyubuthmanmuhd Equalizer,neutral,0.4217844605445862
@El_Mustylero @tweetbuk1 @Khadijahzakari_ @Bashir_KS I didn't assume. U said it all.,neutral,0.4952162802219391
@iabba_ @tweetbuk1 @Khadijahzakari_ @Bashir_KS You are assuming things.. but okay keep assuming.,negative,0.46689456701278687
@El_Mustylero It is. I love it.,positive,0.997648298740387
"@El_Mustylero @tweetbuk1 @Khadijahzakari_ @Bashir_KS Hahaha...u made it clear guy. English, English. English isn't https://t.co/HHHgm4RMsk",neutral,0.9838179349899292
"@iabba_ You have watched this movie, it's a nice movie",positive,0.986519455909729
"@iabba_ @tweetbuk1 @Khadijahzakari_ @Bashir_KS 
First of all, I was trolling BUK.
Second, even if I mean that, i https://t.co/i69BozIGXs",neutral,0.4956960678100586
"@El_Mustylero @tweetbuk1 @Khadijahzakari_ @Bashir_KS Well I wish u wel with your English. Malam, u made it clear u https://t.co/RMn6OufZXf",positive,0.8318042159080505
"@iabba_ @tweetbuk1 @Khadijahzakari_ @Bashir_KS Just believe in what ever you want to believe, there is no where i s https://t.co/wSlzL7VDyq",negative,0.7110623121261597
@El_Mustylero @tweetbuk1 @Khadijahzakari_ @Bashir_KS Maybe. Mr I know all. I'll get back to u d day u understand th https://t.co/9tz6hCgkNh,positive,0.39284300804138184
@iabba_ @tweetbuk1 @Khadijahzakari_ @Bashir_KS May be that's why you could type English a bit better.,negative,0.5819035768508911
@El_Mustylero @tweetbuk1 @Khadijahzakari_ @Bashir_KS . Go and pray. Musulmi,neutral,0.6621559858322144
@El_Mustylero @tweetbuk1 @Khadijahzakari_ @Bashir_KS And u do understand English right? Bt I cnt see it. Yi turancin mu gani,neutral,0.5394520163536072
@iabba_ @tweetbuk1 @Khadijahzakari_ @Bashir_KS You said I'm stupid..  but I just realised you don't really know what stupid means.,negative,0.9998137354850769
@El_Mustylero @tweetbuk1 @Khadijahzakari_ @Bashir_KS Now kayi clearing doubt dina akan ka. I will say no more.,negative,0.5753844380378723
"@iabba_ @tweetbuk1 @Khadijahzakari_ @Bashir_KS I just explained it to you.

Oh! My bad! You don't really understand https://t.co/iMkNrQuajp",negative,0.9512418508529663
@El_Mustylero @iabba_ @Khadijahzakari_ @Bashir_KS Soo google keyboard ne yayi maka translating BAKATAFE ,neutral,0.9261364936828613
"@El_Mustylero @iabba_ @Khadijahzakari_ @Bashir_KS 

See who this bakatafe is calling kauyawa",negative,0.5580966472625732
